experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_phase,fine_tuning_epochs,fine_tuning_learning_rate,fine_tuning_time_s,fine_tuning_early_stopping,fine_tuning_patience,fine_tuning_min_improvement,fine_tuning_monitor,fine_tuning_best_epoch,fine_tuning_stopped_early,fine_tuning_last_val_loss,fine_tuning_last_val_accuracy,total_parameters,compression_ratio,compression_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,baseline,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,9756426,1.0,0.0,0.1539,2.1843,12695.58,92.79,92.7973,92.79,92.784
CP_GD rank 048 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",48,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,778937,12.5253,67.3147,0.0099,2.3675,14652.16,16.78,35.0542,16.78,11.2428
CP_GD rank 048 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",48,True,fine_tuned,4,0.0001,8.1618,True,1,0.5,val_accuracy,3,1,0.492811,84.3359,778937,12.5253,67.4275,0.0099,2.3775,14256.79,82.67,82.7909,82.67,82.5985
CP_GD rank 052 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",52,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,798817,12.2136,67.5052,0.0104,2.3745,14073.84,17.1,34.2453,17.1,9.8226
CP_GD rank 052 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",52,True,fine_tuned,4,0.0001,8.1683,True,1,0.5,val_accuracy,4,0,0.44297,86.0938,798817,12.2136,67.4371,0.0104,2.416,13786.09,83.65,83.6135,83.65,83.5262
CP_GD rank 058 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",58,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,828637,11.7741,67.5958,0.0113,2.454,14220.74,29.27,69.5104,29.27,23.7594
CP_GD rank 058 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",58,True,fine_tuned,4,0.0001,8.2719,True,1,0.5,val_accuracy,3,1,0.377492,88.0859,828637,11.7741,67.9738,0.0113,2.4898,14418.51,84.49,84.4292,84.49,84.3119
CP_GD rank 064 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",64,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,858457,11.3651,67.7042,0.0122,2.3723,14577.74,26.1,79.9874,26.1,21.1476
CP_GD rank 064 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",64,True,fine_tuned,4,0.0001,8.3404,True,1,0.5,val_accuracy,4,0,0.330769,89.7656,858457,11.3651,67.5375,0.0122,2.3956,14770.62,85.51,85.5435,85.51,85.4857
CP_GD rank 072 | no_ft,CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",72,False,compressed,0,0.0,0.0,False,0,0.0,,0,0,0.0,0.0,898217,10.862,67.1949,0.0134,2.3553,14695.18,45.62,78.962,45.62,44.9971
CP_GD rank 072 | ft [fine_tuned],CP_GD,"[""features.0"", ""features.4"", ""features.8"", ""features.11"", ""features.15"", ""features.18"", ""features.22"", ""features.25""]",72,True,fine_tuned,4,0.0001,8.5166,True,1,0.5,val_accuracy,3,1,0.297539,90.8594,898217,10.862,66.8885,0.0134,2.3697,15674.82,86.26,86.294,86.26,86.2235
