experiment_name,method,target_layers,rank,fine_tuning_enabled,fine_tuning_time_s,total_parameters,compression_ratio,compression_time_s,model_memory_mb,peak_inference_memory_mb,test_eval_time_s,macs_g,latency_ms,throughput_fps,accuracy,precision,recall,f1_score
Baseline,None,None,None,False,0.0,272474,1.0,0.0,1.0455,49.8682,1.5871,0.0416,2.1942,16101.08,92.12,92.1765,92.12,92.1321
SVD rank 0002 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,False,0.0,16948,16.0771,0.042,0.0709,43.7812,1.6275,0.0045,3.8218,13889.99,10.0,1.0,10.0,1.8182
SVD rank 0002 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,2,True,19.7323,16948,16.0771,0.042,0.0713,51.9946,1.554,0.0045,3.7638,14892.37,29.93,27.6586,29.93,24.5191
SVD rank 0005 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,False,0.0,36163,7.5346,0.0437,0.1442,53.4814,1.5783,0.0096,3.7414,13991.22,10.09,1.5853,10.09,2.3069
SVD rank 0005 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,5,True,20.7262,36163,7.5346,0.0437,0.1446,53.645,1.5709,0.0096,3.7437,14249.79,58.99,59.409,58.99,58.405
SVD rank 0007 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,7,False,0.0,48973,5.5638,0.0417,0.1931,55.0317,1.638,0.013,3.6867,13379.1,9.99,2.0132,9.99,3.3505
SVD rank 0007 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,7,True,21.0479,48973,5.5638,0.0417,0.1934,55.2393,1.5867,0.013,3.8391,14425.83,71.37,71.6602,71.37,71.3097
SVD rank 0010 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,10,False,0.0,68188,3.9959,0.0428,0.2664,56.1084,1.6041,0.0182,3.7641,13822.5,13.12,4.3013,13.12,5.8968
SVD rank 0010 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,10,True,21.5871,68188,3.9959,0.0428,0.2667,56.3921,1.636,0.0182,3.7693,14194.35,74.9,77.2521,74.9,74.6417
SVD rank 0012 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,12,False,0.0,80764,3.3737,0.0404,0.3144,57.1519,1.6181,0.0215,3.7729,13888.97,11.17,3.2173,11.17,4.2677
SVD rank 0012 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,12,True,22.9527,80764,3.3737,0.0404,0.3147,57.479,1.615,0.0215,3.7895,14517.5,79.6,80.1593,79.6,79.373
SVD rank 0015 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,15,False,0.0,98668,2.7615,0.0434,0.3827,58.2227,1.6424,0.0255,3.9332,13801.0,8.8,2.7957,8.8,3.5481
SVD rank 0015 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,15,True,21.5887,98668,2.7615,0.0434,0.383,58.6206,1.5983,0.0255,3.8383,14325.78,77.52,79.8404,77.52,77.6887
SVD rank 0018 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,18,False,0.0,114652,2.3765,0.0443,0.4437,58.2827,1.5967,0.0275,3.8206,14008.53,8.66,16.6788,8.66,2.5094
SVD rank 0018 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,18,True,23.5615,114652,2.3765,0.0443,0.444,58.7407,1.6074,0.0275,3.8639,15099.57,82.75,83.3866,82.75,82.5665
SVD rank 0020 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,20,False,0.0,125308,2.1744,0.0411,0.4843,58.3203,1.5893,0.0289,3.8557,13691.0,9.2,5.873,9.2,4.332
SVD rank 0020 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,20,True,23.8284,125308,2.1744,0.0411,0.4846,58.8159,1.6173,0.0289,4.2757,14533.03,84.77,85.3402,84.77,84.6208
SVD rank 0023 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,23,False,0.0,141292,1.9284,0.0449,0.5453,58.3853,1.585,0.031,3.8384,14135.83,11.43,7.4235,11.43,4.8736
SVD rank 0023 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,23,True,23.7828,141292,1.9284,0.0449,0.5456,58.9458,1.7226,0.031,3.954,13601.13,87.86,88.266,87.86,87.942
SVD rank 0026 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,26,False,0.0,157276,1.7325,0.0437,0.6063,58.4453,1.6681,0.033,3.9849,13483.75,18.28,42.2833,18.28,12.6439
SVD rank 0026 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,26,True,24.5031,157276,1.7325,0.0437,0.6066,59.0659,1.6126,0.033,3.9647,14001.6,82.12,83.4672,82.12,82.0741
SVD rank 0030 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,30,False,0.0,174684,1.5598,0.0438,0.6727,58.5093,1.6446,0.0347,3.9908,13464.71,33.87,69.7972,33.87,29.7713
SVD rank 0030 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,30,True,24.7974,174684,1.5598,0.0438,0.673,59.1938,1.6282,0.0347,3.9629,13956.42,89.19,89.2738,89.19,89.1414
SVD rank 0033 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,33,False,0.0,185340,1.4701,0.0472,0.7133,58.5527,1.5959,0.0354,4.374,13799.87,48.4,71.2479,48.4,43.5338
SVD rank 0033 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,33,True,12.0492,185340,1.4701,0.0472,0.7136,59.2808,1.6632,0.0354,3.9863,13960.09,86.79,86.9917,86.79,86.6395
SVD rank 0039 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,39,False,0.0,206652,1.3185,0.0435,0.7946,58.6338,1.6212,0.0368,4.0594,13962.19,70.61,78.4717,70.61,71.2412
SVD rank 0039 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,39,True,22.3279,206652,1.3185,0.0435,0.7949,59.4429,1.6638,0.0368,3.9512,14724.36,89.42,89.8852,89.42,89.5278
SVD rank 0045 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,45,False,0.0,227964,1.1953,0.0456,0.8759,58.7153,1.6572,0.0381,4.0627,13786.96,78.55,82.7336,78.55,78.9746
SVD rank 0045 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,45,True,12.2349,227964,1.1953,0.0456,0.8762,59.606,1.6456,0.0381,4.0299,13928.65,89.73,90.3383,89.73,89.877
SVD rank 0050 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,50,False,0.0,245724,1.1089,0.0474,0.9437,58.7803,1.6039,0.0393,3.8152,14039.06,82.17,84.9522,82.17,82.4826
SVD rank 0050 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,50,True,17.0987,245724,1.1089,0.0474,0.944,59.7358,1.6293,0.0393,3.8191,13784.79,90.24,90.349,90.24,90.2083
SVD rank 0058 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,58,False,0.0,268828,1.0136,0.0447,1.0318,58.8706,1.6323,0.0408,3.9017,13614.47,84.55,86.2572,84.55,84.709
SVD rank 0058 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,58,True,9.8691,268828,1.0136,0.0447,1.0321,59.9165,1.7258,0.0408,3.9123,13372.62,90.37,90.4584,90.37,90.3513
SVD rank 0064 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,64,False,0.0,268828,1.0136,0.0458,1.0318,58.8706,1.7186,0.0408,3.8384,13866.54,84.55,86.2572,84.55,84.709
SVD rank 0064 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,64,True,19.8191,268828,1.0136,0.0458,1.0321,59.9165,1.6581,0.0408,3.8867,13974.85,91.39,91.438,91.39,91.4002
SVD rank 0075 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,75,False,0.0,268828,1.0136,0.0484,1.0318,58.8706,1.669,0.0408,3.9517,13643.44,84.55,86.2572,84.55,84.709
SVD rank 0075 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,75,True,9.6924,268828,1.0136,0.0484,1.0321,59.9165,1.6137,0.0408,3.8666,13887.5,90.18,90.4444,90.18,90.2302
SVD rank 0088 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,88,False,0.0,268828,1.0136,0.0507,1.0318,58.8706,1.671,0.0408,3.8791,13760.78,84.55,86.2572,84.55,84.709
SVD rank 0088 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,88,True,9.8347,268828,1.0136,0.0507,1.0321,59.9165,1.6251,0.0408,4.0926,14028.68,90.34,90.5245,90.34,90.368
SVD rank 0097 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,97,False,0.0,268828,1.0136,0.0484,1.0318,58.8706,1.5961,0.0408,3.9376,13902.52,84.55,86.2572,84.55,84.709
SVD rank 0097 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,97,True,9.7768,268828,1.0136,0.0484,1.0321,59.9165,1.6276,0.0408,3.9098,13999.59,90.44,90.6636,90.44,90.4887
SVD rank 0113 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,113,False,0.0,268828,1.0136,0.0466,1.0318,58.8706,1.5918,0.0408,3.9549,13670.28,84.55,86.2572,84.55,84.709
SVD rank 0113 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,113,True,9.9491,268828,1.0136,0.0466,1.0321,59.9165,1.6764,0.0408,3.9485,13657.01,90.07,90.2543,90.07,90.0911
SVD rank 0126 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,126,False,0.0,268828,1.0136,0.0465,1.0318,58.8706,1.6408,0.0408,4.1006,13869.46,84.55,86.2572,84.55,84.709
SVD rank 0126 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,126,True,12.2977,268828,1.0136,0.0465,1.0321,59.9165,1.6326,0.0408,3.9409,13627.48,90.39,90.6269,90.39,90.425
SVD rank 0147 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,147,False,0.0,268828,1.0136,0.0464,1.0318,58.8706,1.7446,0.0408,3.915,13483.2,84.55,86.2572,84.55,84.709
SVD rank 0147 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,147,True,9.629,268828,1.0136,0.0464,1.0321,59.9165,1.6392,0.0408,4.0381,14054.42,90.47,90.4462,90.47,90.408
SVD rank 0163 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,163,False,0.0,268828,1.0136,0.048,1.0318,58.8706,1.592,0.0408,3.8951,13941.78,84.55,86.2572,84.55,84.709
SVD rank 0163 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,163,True,14.7014,268828,1.0136,0.048,1.0321,59.9165,1.6427,0.0408,3.8903,14413.37,90.08,90.2729,90.08,90.1122
SVD rank 0190 [compressed],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,190,False,0.0,268828,1.0136,0.0439,1.0318,58.8706,1.6216,0.0408,3.8382,14146.25,84.55,86.2572,84.55,84.709
SVD rank 0190 [fine_tuned],SVD,conv1|layer1.0.conv1|layer1.0.conv2|layer1.1.conv1|layer1.1.conv2|layer1.2.conv1|layer1.2.conv2|layer2.0.conv1|layer2.0.conv2|layer2.1.conv1|layer2.1.conv2|layer2.2.conv1|layer2.2.conv2|layer3.0.conv1|layer3.0.conv2|layer3.1.conv1|layer3.1.conv2|layer3.2.conv1|layer3.2.conv2|fc,190,True,10.1306,268828,1.0136,0.0439,1.0321,59.9165,1.6647,0.0408,3.8862,14353.58,90.07,90.3805,90.07,90.1211
